tumor_code,n,base_rate,aupr,lift
LSCC,173125,0.4191653429602888,0.7174313496561648,1.7115712491624895
LUAD,179784,0.4172618253014729,0.685301327324724,1.6423772455809775
UCEC,62958,0.42048667365545284,0.6792017120505505,1.6152752384421318
CCRCC,80052,0.40321291160745515,0.6097917560776133,1.5123319182577948
PDA,59846,0.37564749523777696,0.5643498557633679,1.5023389292297726
GBM,144446,0.34665549755618014,0.5276117376675401,1.5220059724627144
