tumour,n_unique,base,aupr,lift
CCRCC,80052,0.40321291160745515,0.584267475930315,1.4490296791366746
GBM,144446,0.34665549755618014,0.509959257417258,1.4710837157129242
LSCC,173125,0.4191653429602888,0.7054156730877964,1.6829055286534664
LUAD,179784,0.4172618253014729,0.6740686344568567,1.6154572347226832
PDA,59846,0.37564749523777696,0.5510264512279137,1.4668710911518938
UCEC,62958,0.42048667365545284,0.6736575427452755,1.602090113555587
