cohort,n_modelled,string700_covered,string700_frac,string900_covered,string900_frac,kegg_covered,kegg_frac
ALL,6926,6314,0.9116373086918856,5335,0.7702858792954086,3599,0.5196361536240254
3Q,221,199,0.9004524886877828,177,0.8009049773755657,110,0.497737556561086
