gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
SUGP1,0.7292,0.8048,96,0.9869,0.8545,-0.0756,92
RIOK1,0.837,0.8043,92,0.9867,0.9402,0.0327,93
PABPC1,0.8547,0.8028,172,0.9866,0.9526,0.0518,94
PPIL2,0.7763,0.8022,76,0.9864,0.8925,-0.0258,95
DDX46,0.7339,0.8021,109,0.9863,0.8586,-0.0682,96
DHX9,0.7708,0.8018,192,0.9861,0.8877,-0.031,97
SLU7,0.918,0.8013,122,0.986,0.9846,0.1167,98
BUD13,0.8219,0.8012,73,0.9859,0.9274,0.0208,99
NCL,0.8642,0.8004,81,0.9857,0.958,0.0638,100
NCAPH,0.8839,0.8002,112,0.9856,0.971,0.0837,101
SRRT,0.653,0.7998,219,0.9854,0.7889,-0.1468,102
MAK16,0.7536,0.7996,69,0.9853,0.8728,-0.046,103
NASP,0.8916,0.7994,83,0.9851,0.9743,0.0922,104
DDX23,0.8727,0.7993,110,0.985,0.9641,0.0734,105
DDX54,0.8163,0.7993,98,0.9848,0.9222,0.017,106
HNRNPH1,0.6316,0.7992,133,0.9847,0.7692,-0.1676,107
CDK1,0.9118,0.7983,68,0.9846,0.9824,0.1134,108
RRP12,0.9194,0.7977,62,0.9844,0.9851,0.1217,109
DDX42,0.8862,0.7969,123,0.9843,0.9718,0.0892,110
PRPF38A,0.4154,0.7966,65,0.9841,0.5663,-0.3812,111
POP1,0.9583,0.7965,168,0.984,0.9965,0.1618,112
SETD2,0.5778,0.7961,45,0.9838,0.7191,-0.2183,113
SF3A1,0.75,0.7954,68,0.9837,0.8707,-0.0454,114
SNRNP200,0.9018,0.7951,112,0.9835,0.9789,0.1067,115
MED1,0.8917,0.7941,120,0.9834,0.9744,0.0975,116
NOP56,0.806,0.7932,134,0.9833,0.9126,0.0128,117
GTF2E1,0.7769,0.793,121,0.9831,0.8932,-0.0161,118
EBNA1BP2,0.8837,0.7925,86,0.983,0.9708,0.0913,119
SF1,0.7912,0.7908,91,0.9828,0.9031,0.0004,120
MCM5,0.9483,0.7906,58,0.9827,0.9939,0.1577,121
XPO1,0.879,0.7892,124,0.9825,0.9683,0.0898,122
EIF3B,0.7668,0.7881,223,0.9824,0.8843,-0.0213,123
TEX10,0.8136,0.7881,59,0.9822,0.9198,0.0255,124
RANBP2,0.8224,0.7871,107,0.9821,0.9278,0.0354,125
SF3A3,0.725,0.7856,80,0.982,0.8524,-0.0606,126
SART1,0.8163,0.7843,98,0.9818,0.9222,0.032,127
HNRNPM,0.6709,0.7839,79,0.9817,0.8044,-0.113,128
NUP155,0.8211,0.7839,190,0.9815,0.9262,0.0372,129
U2SURP,0.8255,0.7821,149,0.9814,0.9306,0.0434,130
NDC1,0.6866,0.782,67,0.9812,0.8193,-0.0955,131
SNRNP70,0.7416,0.7819,89,0.9811,0.8644,-0.0403,132
EXOSC9,0.6735,0.7818,49,0.9809,0.8062,-0.1083,133
RTF1,0.8696,0.7815,46,0.9808,0.9619,0.088,134
PAXBP1,0.8667,0.7813,75,0.9807,0.9598,0.0854,135
CLP1,0.7,0.7792,80,0.9805,0.831,-0.0792,136
TPR,0.8519,0.7792,189,0.9804,0.9507,0.0727,137
