gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
MGA,0.7609,0.545,46,0.8293,0.8787,0.2159,1183
ACTG1,0.3652,0.545,115,0.8292,0.5159,-0.1797,1184
RPA3,0.4609,0.545,230,0.829,0.6142,-0.0841,1185
WDR1,0.2857,0.5445,56,0.8289,0.4269,-0.2588,1186
RBSN,0.0417,0.5444,48,0.8288,0.0705,-0.5027,1187
XPC,0.0816,0.5441,49,0.8286,0.1356,-0.4624,1188
HABP4,0.069,0.5436,58,0.8285,0.1147,-0.4746,1189
IRS2,0.6364,0.5435,77,0.8283,0.7734,0.0929,1190
HMGB1,0.4259,0.543,54,0.8282,0.5767,-0.117,1191
RTN3,0.2289,0.5429,83,0.828,0.3468,-0.314,1192
MIA3,0.4645,0.5429,183,0.8279,0.6171,-0.0784,1193
ACO2,0.1833,0.5427,60,0.8278,0.2858,-0.3593,1194
LIG1,0.8023,0.5426,86,0.8276,0.9099,0.2598,1195
FGFR1OP2,0.1733,0.5424,150,0.8275,0.272,-0.3691,1196
LSM2,0.55,0.5424,100,0.8273,0.6951,0.0076,1197
TIMM44,0.4744,0.5422,78,0.8272,0.6271,-0.0679,1198
ERP44,0.5763,0.5422,59,0.827,0.7178,0.0341,1199
UBXN4,0.5,0.5421,98,0.8269,0.6533,-0.0421,1200
DNAJB14,0.2128,0.5419,47,0.8267,0.3235,-0.3291,1201
CPD,0.6598,0.5419,97,0.8266,0.7951,0.1179,1202
ARF4,0.6098,0.5419,41,0.8265,0.7494,0.0679,1203
CUL2,0.6222,0.5416,90,0.8263,0.7597,0.0806,1204
KLHDC4,0.7051,0.5416,78,0.8262,0.8354,0.1635,1205
ANKRD52,0.5917,0.5416,120,0.826,0.7329,0.0501,1206
SP110,0.4938,0.5416,81,0.8259,0.6477,-0.0477,1207
CIR1,0.8182,0.5414,110,0.8257,0.924,0.2768,1208
PKM,0.8689,0.541,61,0.8256,0.9614,0.3278,1209
TNS3,0.086,0.541,221,0.8254,0.1459,-0.4551,1210
COPA,0.6965,0.5409,201,0.8253,0.828,0.1557,1211
CCT7,0.5984,0.5408,122,0.8252,0.7393,0.0575,1212
NEDD1,0.5098,0.5407,102,0.825,0.6617,-0.0309,1213
ARGLU1,0.6438,0.5406,73,0.8249,0.7811,0.1032,1214
AP3B1,0.2532,0.5406,79,0.8247,0.3805,-0.2874,1215
THUMPD1,0.5534,0.5402,103,0.8246,0.6988,0.0132,1216
TNRC6C,0.2261,0.5401,115,0.8244,0.341,-0.314,1217
CDC16,0.5395,0.5399,76,0.8243,0.6857,-0.0005,1218
ADAM17,0.6429,0.5399,112,0.8241,0.7796,0.103,1219
NFKBIA,0.2035,0.5398,113,0.824,0.3108,-0.3363,1220
TOMM40,0.7172,0.5397,99,0.8239,0.8456,0.1775,1221
ATG3,0.3874,0.5394,111,0.8237,0.5401,-0.152,1222
LMAN2,0.75,0.5393,132,0.8236,0.8707,0.2107,1223
RIF1,0.9208,0.5393,101,0.8234,0.9859,0.3814,1224
HSPA8,0.5797,0.5393,69,0.8233,0.7213,0.0404,1225
POLK,0.3415,0.5393,82,0.8231,0.4916,-0.1978,1226
KARS,0.8696,0.5393,92,0.823,0.9619,0.3303,1227
SOS1,0.4322,0.5393,118,0.8228,0.5858,-0.1071,1228
UBE2J1,0.3469,0.5391,49,0.8227,0.496,-0.1922,1229
CFAP20,0.6632,0.5391,95,0.8226,0.7999,0.124,1230
NNT,0.2951,0.5391,183,0.8224,0.4396,-0.244,1231
SUGT1,0.5714,0.5391,49,0.8223,0.7151,0.0323,1232
SLC16A1,0.5167,0.5388,60,0.8221,0.6658,-0.0221,1233
HMGA1,0.7172,0.5387,99,0.822,0.8456,0.1785,1234
NAPRT,0.2108,0.5387,166,0.8218,0.3213,-0.3279,1235
ERH,0.4737,0.5387,76,0.8217,0.6264,-0.065,1236
STRN,0.2281,0.5382,114,0.8215,0.3454,-0.3102,1237
CNOT8,0.5484,0.5382,124,0.8214,0.6935,0.0102,1238
RWDD4,0.6,0.5381,50,0.8213,0.7407,0.0619,1239
SMARCC2,0.5785,0.538,121,0.8211,0.72,0.0405,1240
HSPA14,0.9277,0.5377,83,0.821,0.9874,0.39,1241
JAK2,0.0741,0.5376,54,0.8208,0.1249,-0.4636,1242
TRIM33,0.6271,0.5375,59,0.8207,0.7647,0.0896,1243
GMPS,0.8642,0.5372,162,0.8205,0.958,0.327,1244
SNRPD2,0.7174,0.5371,92,0.8204,0.8459,0.1802,1245
NFYB,0.2574,0.5367,101,0.8202,0.3863,-0.2793,1246
NAP1L1,0.8091,0.5364,110,0.8201,0.9162,0.2727,1247
RPL11,0.6,0.5362,60,0.82,0.7407,0.0638,1248
PARD3,0.2921,0.5361,89,0.8198,0.4352,-0.244,1249
SNRPA,0.6609,0.5361,115,0.8197,0.7967,0.1248,1250
DICER1,0.6548,0.5361,84,0.8195,0.7904,0.1187,1251
MED29,0.7218,0.5357,133,0.8194,0.8496,0.1861,1252
CHMP4A,0.6506,0.5357,83,0.8192,0.7866,0.1149,1253
JUND,0.3587,0.5354,92,0.8191,0.5073,-0.1767,1254
SSBP1,0.5842,0.5354,202,0.8189,0.7257,0.0488,1255
C12orf10,0.7928,0.5354,111,0.8188,0.9041,0.2574,1256
DRG1,0.6769,0.5354,65,0.8187,0.8087,0.1416,1257
ARPP19,0.2453,0.5353,53,0.8185,0.3695,-0.29,1258
POLR3E,0.8058,0.5351,103,0.8184,0.9124,0.2707,1259
FAU,0.5326,0.5351,92,0.8182,0.6778,-0.0025,1260
GTF3C3,0.602,0.5349,98,0.8181,0.7421,0.0672,1261
DDX31,0.7241,0.5349,58,0.8179,0.8511,0.1893,1262
ATP2C1,0.6822,0.5347,129,0.8178,0.8139,0.1475,1263
EXOSC2,0.7193,0.5347,57,0.8176,0.8474,0.1846,1264
POLR2D,0.3679,0.5346,106,0.8175,0.5192,-0.1667,1265
ZPR1,0.9452,0.5344,73,0.8174,0.9928,0.4108,1266
RALGAPB,0.2365,0.5341,148,0.8172,0.3567,-0.2977,1267
EIF2B2,0.625,0.534,80,0.8171,0.7627,0.091,1268
PPP6R3,0.9346,0.5339,107,0.8169,0.9905,0.4007,1269
IFT46,0.1096,0.5339,73,0.8168,0.1798,-0.4243,1270
AFF4,0.8073,0.5339,109,0.8166,0.9147,0.2735,1271
PRMT9,0.25,0.5338,52,0.8165,0.3758,-0.2838,1272
NRBP1,0.4407,0.5336,118,0.8163,0.5929,-0.0929,1273
APLP2,0.3803,0.5335,71,0.8162,0.5312,-0.1532,1274
ALG11,0.1458,0.5335,48,0.8161,0.2333,-0.3877,1275
PHF10,0.5745,0.5334,47,0.8159,0.7168,0.0411,1276
ASH2L,0.6897,0.5333,116,0.8158,0.8223,0.1564,1277
PHF14,0.7911,0.5332,225,0.8156,0.903,0.2579,1278
TERF2IP,0.6522,0.5331,92,0.8155,0.7882,0.1191,1279
PFDN6,0.8454,0.533,97,0.8153,0.9467,0.3123,1280
GPX4,0.1282,0.533,78,0.8152,0.2072,-0.4048,1281
KDM2B,0.5567,0.5329,97,0.815,0.7017,0.0238,1282
TJP1,0.0,0.5328,53,0.8149,0.0058,-0.5328,1283
RPL19,0.3248,0.5327,117,0.8148,0.4737,-0.208,1284
NPLOC4,0.8087,0.5327,115,0.8146,0.9158,0.276,1285
PDCL3,0.8302,0.5327,106,0.8145,0.9348,0.2975,1286
SGCE,0.0673,0.5326,223,0.8143,0.1122,-0.4653,1287
NFXL1,0.5789,0.532,76,0.8142,0.7203,0.047,1288
SRSF10,0.7049,0.5319,61,0.814,0.835,0.173,1289
RPL7A,0.5357,0.5318,56,0.8139,0.6818,0.0039,1290
RINT1,0.3602,0.5318,211,0.8137,0.51,-0.1716,1291
ANAPC10,0.4815,0.5312,54,0.8136,0.6338,-0.0497,1292
PSMA7,0.3618,0.5311,152,0.8135,0.512,-0.1693,1293
GPS2,0.8372,0.5311,43,0.8133,0.9404,0.3061,1294
UAP1,0.6954,0.5309,197,0.8132,0.8275,0.1645,1295
CEP97,0.6697,0.5309,109,0.813,0.8036,0.1388,1296
EDF1,0.7869,0.5309,61,0.8129,0.9002,0.256,1297
KANSL3,0.1875,0.5309,112,0.8127,0.2902,-0.3434,1298
CDC26,0.3929,0.5308,56,0.8126,0.5444,-0.138,1299
NAA15,0.9608,0.5308,51,0.8124,0.9974,0.43,1300
SNRPG,0.7311,0.5307,119,0.8123,0.8564,0.2004,1301
C1QBP,0.439,0.5306,41,0.8122,0.5913,-0.0915,1302
NABP2,0.6083,0.5304,120,0.812,0.7479,0.0779,1303
MTA1,0.6824,0.5304,85,0.8119,0.8145,0.152,1304
WDR61,0.3226,0.5302,62,0.8117,0.4716,-0.2076,1305
TMEM245,0.1356,0.5302,59,0.8116,0.2167,-0.3946,1306
SEC23IP,0.7656,0.5301,64,0.8114,0.8833,0.2355,1307
LARP4,0.6726,0.5301,113,0.8113,0.8052,0.1424,1308
MDM1,0.0152,0.5301,132,0.8111,0.0212,-0.515,1309
CDK2,0.7119,0.53,118,0.811,0.8421,0.1819,1310
AKAP8L,0.6739,0.5299,92,0.8109,0.8067,0.144,1311
ATG4C,0.0781,0.5296,64,0.8107,0.1307,-0.4515,1312
TRAPPC8,0.1154,0.5296,78,0.8106,0.1876,-0.4142,1313
CHCHD1,0.2464,0.5296,69,0.8104,0.3714,-0.2832,1314
CEP57,0.093,0.5295,86,0.8103,0.1553,-0.4365,1315
IMPACT,0.2632,0.5294,95,0.8101,0.3947,-0.2663,1316
EIF1AD,0.5612,0.5292,98,0.81,0.7063,0.032,1317
PPP3CB,0.029,0.5291,69,0.8098,0.0467,-0.5001,1318
DNAJA2,0.6827,0.529,104,0.8097,0.8146,0.1537,1319
OPA1,0.4405,0.5289,168,0.8096,0.5925,-0.0885,1320
ZFP91,0.6582,0.5289,79,0.8094,0.793,0.1293,1321
MED13L,0.5567,0.5288,97,0.8093,0.7017,0.0279,1322
DTX3L,0.875,0.5288,120,0.8091,0.9655,0.3462,1323
HEXIM1,0.6909,0.5286,110,0.809,0.8233,0.1623,1324
EIF6,0.7576,0.5283,165,0.8088,0.8766,0.2293,1325
GTF2F2,0.9,0.5283,50,0.8087,0.9779,0.3717,1326
RPS19,0.7228,0.5283,101,0.8085,0.8501,0.1945,1327
TCP1,0.7174,0.5282,46,0.8084,0.8459,0.1892,1328
PHF20L1,0.5909,0.5282,176,0.8083,0.7317,0.0627,1329
CUL1,0.7389,0.5281,203,0.8081,0.862,0.2109,1330
IBA57,0.0824,0.5277,182,0.808,0.1374,-0.4453,1331
KIF2A,0.7439,0.5275,82,0.8078,0.8662,0.2164,1332
BCCIP,0.8939,0.5275,66,0.8077,0.9752,0.3664,1333
GPN3,0.1683,0.5274,101,0.8075,0.2649,-0.3591,1334
CHST14,0.4894,0.5273,47,0.8074,0.6424,-0.0379,1335
DYNC1LI1,0.1667,0.527,48,0.8072,0.2633,-0.3603,1336
SRSF2,0.6923,0.527,117,0.8071,0.8244,0.1653,1337
TRAM1,0.5034,0.5269,145,0.807,0.6568,-0.0234,1338
YBX3,0.7252,0.5268,131,0.8068,0.8527,0.1984,1339
CUL3,0.2911,0.5267,79,0.8067,0.4337,-0.2356,1340
MATR3,0.6087,0.5267,115,0.8065,0.7486,0.082,1341
SRF,0.3211,0.5265,109,0.8064,0.47,-0.2054,1342
COL1A2,0.5874,0.5264,223,0.8062,0.729,0.0611,1343
GEMIN2,0.6,0.5261,105,0.8061,0.7407,0.0739,1344
SIRT1,0.4706,0.5261,68,0.8059,0.6242,-0.0555,1345
P3H1,0.8953,0.5259,86,0.8058,0.9761,0.3694,1346
MGRN1,0.5278,0.5259,108,0.8057,0.6746,0.0019,1347
ORC2,0.8247,0.5256,97,0.8055,0.9295,0.2992,1348
ZNF579,0.4845,0.5253,97,0.8054,0.6374,-0.0407,1349
SNAP29,0.5904,0.5245,83,0.8052,0.731,0.0658,1350
GTF3C6,0.6522,0.5245,46,0.8051,0.7882,0.1277,1351
C17orf80,0.4583,0.5244,120,0.8049,0.6116,-0.0661,1352
KIFAP3,0.3163,0.5244,196,0.8048,0.4654,-0.2081,1353
DCAF8,0.2759,0.5244,203,0.8046,0.4134,-0.2485,1354
GABPB1,0.434,0.5243,53,0.8045,0.5876,-0.0903,1355
MAX,0.6026,0.5242,78,0.8044,0.7428,0.0784,1356
ZKSCAN1,0.5792,0.5241,221,0.8042,0.7206,0.0551,1357
CAMLG,0.5596,0.5241,109,0.8041,0.7048,0.0356,1358
ASXL2,0.5088,0.524,114,0.8039,0.6607,-0.0153,1359
C8orf37,0.2485,0.5239,165,0.8038,0.3737,-0.2754,1360
CIC,0.4848,0.5239,99,0.8036,0.6379,-0.039,1361
RPS23,0.325,0.5238,80,0.8035,0.4739,-0.1988,1362
MED27,0.7544,0.5237,57,0.8033,0.8737,0.2306,1363
TOR1AIP1,0.4632,0.5237,190,0.8032,0.6158,-0.0606,1364
MKRN1,0.5123,0.5237,203,0.8031,0.663,-0.0114,1365
ATP2B1,0.3725,0.5237,102,0.8029,0.5238,-0.1511,1366
NEFL,0.1455,0.5236,55,0.8028,0.2327,-0.3782,1367
TKT,0.3488,0.5236,43,0.8026,0.4974,-0.1747,1368
WRAP53,0.4878,0.5233,41,0.8025,0.6408,-0.0355,1369
RAB11FIP2,0.0645,0.5231,62,0.8023,0.1072,-0.4586,1370
HSP90AB1,0.9245,0.523,106,0.8022,0.9869,0.4015,1371
RRN3,0.5596,0.5229,109,0.8021,0.7048,0.0367,1372
IDI1,0.6104,0.5229,77,0.8019,0.7502,0.0875,1373
HAT1,0.9286,0.5229,112,0.8018,0.9881,0.4057,1374
CCPG1,0.434,0.5227,53,0.8016,0.5876,-0.0887,1375
UBA5,0.5391,0.5226,128,0.8015,0.6849,0.0164,1376
RIOK3,0.7087,0.5226,103,0.8013,0.8387,0.1861,1377
YY1,0.5814,0.5226,86,0.8012,0.7224,0.0588,1378
DSTN,0.0882,0.5225,136,0.801,0.1489,-0.4343,1379
INPP5F,0.6349,0.5225,63,0.8009,0.7723,0.1124,1380
UBXN1,0.481,0.5225,79,0.8008,0.6334,-0.0415,1381
PPA1,0.7059,0.5224,68,0.8006,0.8359,0.1834,1382
CNOT11,0.8365,0.5223,104,0.8005,0.9397,0.3142,1383
ZNF592,0.5909,0.5223,66,0.8003,0.7317,0.0686,1384
ZNF706,0.4855,0.5222,173,0.8002,0.6386,-0.0367,1385
TPT1,0.76,0.522,50,0.8,0.8781,0.238,1386
CHMP7,0.4464,0.522,56,0.7999,0.5994,-0.0756,1387
PTK2,0.3371,0.522,175,0.7997,0.4863,-0.1848,1388
PGD,0.3333,0.522,66,0.7996,0.4822,-0.1886,1389
ENSA,0.4523,0.5219,199,0.7995,0.6051,-0.0697,1390
UBA6,0.9355,0.5219,62,0.7993,0.991,0.4136,1391
ATP2A2,0.81,0.5216,100,0.7992,0.9177,0.2884,1392
SSR2,0.285,0.5214,200,0.799,0.4256,-0.2364,1393
PARP1,0.8152,0.5214,184,0.7989,0.9212,0.2939,1394
BRD3,0.3148,0.5211,54,0.7987,0.4638,-0.2063,1395
MAP7D1,0.2763,0.5211,76,0.7986,0.4138,-0.2447,1396
RPS11,0.6087,0.521,92,0.7984,0.7486,0.0876,1397
PTDSS2,0.4082,0.5208,49,0.7983,0.5583,-0.1127,1398
MYH9,0.4464,0.5208,56,0.7982,0.5994,-0.0743,1399
ERI1,0.8621,0.5207,58,0.798,0.9568,0.3413,1400
HAUS5,0.5645,0.5207,124,0.7979,0.7089,0.0438,1401
ABI1,0.2644,0.5205,87,0.7977,0.3968,-0.2561,1402
CBFB,0.9579,0.5204,95,0.7976,0.9962,0.4375,1403
GLMN,0.8596,0.5201,57,0.7974,0.9551,0.3396,1404
ELAC2,0.6591,0.52,44,0.7973,0.7937,0.1391,1405
GFPT1,0.8926,0.5198,121,0.7971,0.9746,0.3727,1406
PSMA5,0.3548,0.5197,62,0.797,0.5032,-0.1649,1407
RPS12,0.7115,0.5197,52,0.7969,0.8417,0.1918,1408
SCYL3,0.5306,0.5196,196,0.7967,0.6761,0.011,1409
GORASP2,0.5856,0.5196,111,0.7966,0.7269,0.066,1410
NUB1,0.5468,0.5196,203,0.7964,0.692,0.0272,1411
TRIP4,0.7636,0.5192,55,0.7963,0.881,0.2444,1412
CYB5B,0.4536,0.5191,97,0.7961,0.6071,-0.0655,1413
RPAP1,0.4783,0.5191,46,0.796,0.6309,-0.0409,1414
CYCS,0.2882,0.5191,229,0.7958,0.4303,-0.2309,1415
REXO4,0.8909,0.5191,55,0.7957,0.974,0.3718,1416
MTHFD1,0.5432,0.5191,81,0.7956,0.6892,0.0242,1417
ERCC2,0.663,0.519,92,0.7954,0.7996,0.144,1418
SARS,0.5246,0.5189,61,0.7953,0.6711,0.0057,1419
RPL34,0.2653,0.5188,49,0.7951,0.3987,-0.2535,1420
KLC2,0.6364,0.5188,99,0.795,0.7734,0.1176,1421
LTN1,0.7123,0.5185,73,0.7948,0.8428,0.1938,1422
RPL12,0.5,0.5184,62,0.7947,0.6533,-0.0184,1423
RPS15,0.6494,0.5181,77,0.7945,0.7853,0.1312,1424
RNF167,0.2857,0.5181,42,0.7944,0.4269,-0.2324,1425
RABGAP1,0.2542,0.5181,59,0.7943,0.3821,-0.2638,1426
MRPS31,0.2885,0.518,52,0.7941,0.4306,-0.2295,1427
TMED5,0.6842,0.5179,57,0.794,0.8159,0.1663,1428
RRP8,0.807,0.5177,57,0.7938,0.9142,0.2893,1429
TRMT10C,0.4414,0.5176,111,0.7937,0.5939,-0.0762,1430
TDP2,0.3936,0.5176,94,0.7935,0.545,-0.124,1431
PSME4,0.8583,0.5175,120,0.7934,0.9545,0.3408,1432
RNF40,0.5766,0.5173,111,0.7932,0.7183,0.0592,1433
VKORC1L1,0.4932,0.5173,219,0.7931,0.647,-0.0241,1434
ARL6IP4,0.4898,0.5172,98,0.793,0.6432,-0.0274,1435
PSIP1,0.4615,0.5171,52,0.7928,0.6146,-0.0556,1436
NAA35,0.4407,0.517,59,0.7927,0.5929,-0.0764,1437
GSE1,0.425,0.5169,80,0.7925,0.5756,-0.0919,1438
MLH1,0.8043,0.5169,46,0.7924,0.911,0.2875,1439
UBE2Z,0.8276,0.5168,116,0.7922,0.9329,0.3108,1440
NUDT21,0.5579,0.5164,95,0.7921,0.7024,0.0415,1441
RPL26,0.375,0.5164,40,0.7919,0.5268,-0.1414,1442
EXOC6,0.3559,0.5163,59,0.7918,0.505,-0.1604,1443
FASN,0.3604,0.5163,111,0.7917,0.5103,-0.1559,1444
ZNF22,0.1842,0.5162,76,0.7915,0.2869,-0.332,1445
FUT11,0.3478,0.516,69,0.7914,0.4967,-0.1682,1446
OSGEP,0.299,0.5159,97,0.7912,0.4441,-0.2169,1447
ARPC2,0.241,0.5157,83,0.7911,0.3621,-0.2748,1448
NUBP1,0.4464,0.5157,112,0.7909,0.5994,-0.0692,1449
SIDT2,0.0411,0.5156,73,0.7908,0.0694,-0.4745,1450
FERMT2,0.0,0.5155,91,0.7906,0.0058,-0.5155,1451
POLR3C,0.6,0.5153,195,0.7905,0.7407,0.0847,1452
EXOSC6,0.6392,0.5152,97,0.7904,0.7764,0.124,1453
PFDN1,0.6752,0.515,117,0.7902,0.8077,0.1602,1454
SSU72,0.8116,0.5149,69,0.7901,0.9189,0.2967,1455
PIK3R1,0.1463,0.5149,82,0.7899,0.2339,-0.3685,1456
POLR1D,0.7692,0.5148,52,0.7898,0.8854,0.2544,1457
GOSR2,0.3832,0.5148,107,0.7896,0.5347,-0.1316,1458
SSR1,0.6848,0.5147,92,0.7895,0.8168,0.1701,1459
PPP1CB,0.1513,0.5147,119,0.7893,0.2427,-0.3635,1460
MACF1,0.1294,0.5147,85,0.7892,0.2083,-0.3853,1461
CHMP3,0.4034,0.5146,119,0.7891,0.5543,-0.1113,1462
YEATS4,0.6131,0.5144,137,0.7889,0.7524,0.0988,1463
LEMD3,0.7295,0.5139,122,0.7888,0.8548,0.2156,1464
NCOR2,0.8125,0.5136,96,0.7886,0.9194,0.2989,1465
COG3,0.82,0.5133,50,0.7885,0.9254,0.3067,1466
CNBP,0.616,0.5133,125,0.7883,0.7544,0.1027,1467
PUS1,0.6923,0.5133,91,0.7882,0.8244,0.179,1468
ZNF574,0.404,0.5131,99,0.788,0.5546,-0.1091,1469
ZNF598,0.6535,0.5131,101,0.7879,0.7895,0.1404,1470
ACP2,0.2031,0.513,64,0.7878,0.3096,-0.3099,1471
EHMT1,0.7742,0.5129,62,0.7876,0.89,0.2613,1472
POC5,0.0366,0.5129,82,0.7875,0.0616,-0.4763,1473
ZBTB1,0.4375,0.5127,80,0.7873,0.5897,-0.0752,1474
FKBP5,0.2653,0.5127,98,0.7872,0.3987,-0.2473,1475
GATM,0.1176,0.5127,51,0.787,0.1919,-0.395,1476
FLI1,0.0274,0.5126,73,0.7869,0.0448,-0.4852,1477
LSM8,0.314,0.5126,207,0.7867,0.463,-0.1986,1478
TCEA1,0.6838,0.5125,136,0.7866,0.8155,0.1713,1479
STX5,0.625,0.5125,80,0.7865,0.7627,0.1125,1480
PHB2,0.3971,0.5124,136,0.7863,0.5486,-0.1154,1481
CCNT1,0.9286,0.5123,112,0.7862,0.9881,0.4163,1482
PDRG1,0.5602,0.5121,166,0.786,0.7055,0.0482,1483
SPNS1,0.2162,0.5119,111,0.7859,0.3275,-0.2957,1484
INTS8,0.8182,0.5119,165,0.7857,0.924,0.3063,1485
OGDH,0.036,0.5116,222,0.7856,0.0605,-0.4755,1486
RAD9A,0.4495,0.5114,109,0.7854,0.603,-0.0619,1487
C2orf49,0.5943,0.5113,106,0.7853,0.7352,0.083,1488
ING1,0.5513,0.5113,78,0.7852,0.6969,0.04,1489
EDEM3,0.6011,0.5112,188,0.785,0.742,0.0898,1490
GOLGA4,0.4444,0.5112,45,0.7849,0.5969,-0.0668,1491
DNAJC21,0.5503,0.5111,189,0.7847,0.6956,0.0391,1492
NHLRC2,0.05,0.5109,60,0.7846,0.0844,-0.4609,1493
MLLT1,0.3662,0.5109,71,0.7844,0.5169,-0.1447,1494
CALR,0.6163,0.5108,86,0.7843,0.7548,0.1055,1495
RALA,0.1081,0.5107,222,0.7841,0.1761,-0.4026,1496
RABGEF1,0.1751,0.5107,217,0.784,0.2748,-0.3356,1497
WDR47,0.1452,0.5107,62,0.7839,0.232,-0.3655,1498
KRIT1,0.3822,0.5106,225,0.7837,0.5336,-0.1283,1499
UBAP1,0.6,0.5105,75,0.7836,0.7407,0.0895,1500
SUMO1,0.8351,0.5104,97,0.7834,0.9385,0.3247,1501
BRAP,0.81,0.5103,100,0.7833,0.9177,0.2997,1502
POLR2K,0.4942,0.5096,172,0.7831,0.648,-0.0154,1503
PARP10,0.3963,0.5096,164,0.783,0.5472,-0.1133,1504
GIGYF1,0.3455,0.5096,220,0.7828,0.4954,-0.1641,1505
GART,0.9467,0.5094,75,0.7827,0.9936,0.4373,1506
TFAM,0.2143,0.5093,70,0.7826,0.3254,-0.295,1507
PAN3,0.2692,0.5091,52,0.7824,0.4038,-0.2399,1508
RSBN1L,0.6776,0.5089,214,0.7823,0.8094,0.1686,1509
SRP14,0.7826,0.5088,46,0.7821,0.8967,0.2738,1510
PTEN,0.1379,0.5087,58,0.782,0.2199,-0.3708,1511
SEL1L,0.6709,0.5086,79,0.7818,0.8044,0.1623,1512
PSMD14,0.7087,0.5085,103,0.7817,0.8387,0.2002,1513
WNK1,0.4527,0.5085,148,0.7815,0.6058,-0.0558,1514
CDC34,0.5974,0.5084,77,0.7814,0.7384,0.089,1515
CCDC93,0.0,0.5082,107,0.7813,0.0058,-0.5082,1516
SCAMP4,0.2208,0.5081,77,0.7811,0.3348,-0.2873,1517
CEP135,0.037,0.5079,81,0.781,0.0622,-0.4709,1518
TGFB1,0.2843,0.5078,102,0.7808,0.4248,-0.2235,1519
PSMG1,0.5588,0.5078,68,0.7807,0.7037,0.051,1520
IRF9,0.5833,0.5077,84,0.7805,0.7249,0.0756,1521
AVEN,0.5714,0.5077,49,0.7804,0.7151,0.0638,1522
HGH1,0.4788,0.5075,165,0.7802,0.6312,-0.0288,1523
TFRC,0.6707,0.5075,167,0.7801,0.8042,0.1631,1524
LSM5,0.2907,0.5075,227,0.78,0.4332,-0.2167,1525
NUDCD3,0.552,0.5073,221,0.7798,0.6977,0.0447,1526
ALG9,0.3857,0.5068,70,0.7797,0.5378,-0.1211,1527
OGFOD1,0.6632,0.5068,95,0.7795,0.7999,0.1564,1528
GCLC,0.28,0.5066,100,0.7794,0.4184,-0.2266,1529
TMEM131,0.7658,0.5064,111,0.7792,0.8836,0.2593,1530
CWC27,0.7349,0.5064,83,0.7791,0.8598,0.2285,1531
CHD3,0.5854,0.5064,41,0.7789,0.7267,0.079,1532
ALKBH5,0.8298,0.5063,47,0.7788,0.9344,0.3235,1533
ARHGAP21,0.1163,0.5063,86,0.7787,0.189,-0.39,1534
AHR,0.4978,0.5063,229,0.7785,0.6502,-0.0084,1535
EIF2AK3,0.5826,0.5061,115,0.7784,0.7241,0.0765,1536
SMG5,0.71,0.506,200,0.7782,0.8405,0.204,1537
CAPRIN1,0.8594,0.5059,64,0.7781,0.9548,0.3534,1538
TUBGCP6,0.1639,0.5059,61,0.7779,0.2587,-0.3419,1539
EYA3,0.6452,0.5057,62,0.7778,0.7823,0.1394,1540
BRAF,0.2167,0.5056,203,0.7776,0.3282,-0.2889,1541
TAF5L,0.5,0.5055,182,0.7775,0.6533,-0.0055,1542
STAU2,0.6759,0.5054,145,0.7774,0.8078,0.1704,1543
PARN,0.8785,0.5053,107,0.7772,0.9678,0.3732,1544
RB1CC1,0.4962,0.5053,131,0.7771,0.6496,-0.0091,1545
PPIL1,0.697,0.5053,99,0.7769,0.8285,0.1917,1546
WDR77,0.4098,0.5052,61,0.7768,0.561,-0.0954,1547
KIAA0556,0.2547,0.505,106,0.7766,0.3828,-0.2502,1548
HSPE1,0.4545,0.5049,99,0.7765,0.6081,-0.0504,1549
BABAM1,0.266,0.5049,94,0.7763,0.4001,-0.2389,1550
CCDC25,0.6167,0.5047,60,0.7762,0.7553,0.112,1551
TTI1,0.7383,0.5046,149,0.7761,0.8617,0.2337,1552
NFATC2IP,0.5405,0.5045,111,0.7759,0.6868,0.036,1553
TECR,0.3596,0.5045,89,0.7758,0.5092,-0.1449,1554
RC3H1,0.335,0.5045,200,0.7756,0.4847,-0.1695,1555
RPS13,0.5714,0.5044,63,0.7755,0.7151,0.0671,1556
PPFIA1,0.6134,0.5043,119,0.7753,0.7527,0.1091,1557
TDRD3,0.4528,0.5043,53,0.7752,0.606,-0.0515,1558
RPP38,0.8072,0.5043,83,0.7751,0.9145,0.3029,1559
TMEM87B,0.8019,0.5042,106,0.7749,0.9093,0.2977,1560
TAF15,0.6436,0.5038,101,0.7748,0.7805,0.1397,1561
NUP35,0.6239,0.5038,109,0.7746,0.7619,0.1201,1562
SHOC2,0.2,0.5037,60,0.7745,0.3065,-0.3037,1563
DCTN1,0.0413,0.5035,121,0.7743,0.07,-0.4622,1564
TUT1,0.6962,0.5034,79,0.7742,0.8279,0.1928,1565
UBE2O,0.3967,0.5034,121,0.774,0.5482,-0.1067,1566
YWHAB,0.3784,0.5033,148,0.7739,0.5296,-0.125,1567
DNAJC1,0.7229,0.5033,83,0.7738,0.8503,0.2196,1568
GPR107,0.8276,0.5032,58,0.7736,0.9329,0.3244,1569
ITCH,0.5783,0.5032,166,0.7735,0.7195,0.0751,1570
GLS,0.0792,0.5032,101,0.7733,0.132,-0.424,1571
RNASEH2A,0.4302,0.5029,86,0.7732,0.5826,-0.0727,1572
WDR60,0.2746,0.5029,193,0.773,0.4116,-0.2283,1573
