gene,transmissibility,n_amplified_cases,n_rows,meets_primary_20,meets_relaxed_10
ADPRH,0.06666666666666667,120,120,True,True
ADPRHL2,0.6486486486486487,74,74,True,True
ADRM1,0.7763157894736842,152,152,True,True
ADSL,0.6101694915254238,59,59,True,True
ADSS,0.7606382978723404,188,188,True,True
ADSSL1,0.5714285714285714,84,84,True,True
AEBP1,0.2681818181818182,220,220,True,True
AFAP1,0.65,60,60,True,True
AFAP1L2,0.18032786885245902,61,61,True,True
AFF1,0.41818181818181815,55,55,True,True
AFF4,0.8073394495412844,109,109,True,True
AFG3L2,0.42424242424242425,99,99,True,True
AFM,0.046153846153846156,65,65,True,True
AFMID,0.02631578947368421,114,114,True,True
AFTPH,0.3252032520325203,123,123,True,True
AGA,0.25,48,48,True,True
AGAP1,0.21518987341772153,79,79,True,True
AGAP3,0.09405940594059406,202,202,True,True
AGFG1,0.3855421686746988,83,83,True,True
AGFG2,0.10407239819004525,221,221,True,True
AGK,0.4158415841584158,202,202,True,True
AGL,0.4393939393939394,66,66,True,True
AGO1,0.1111111111111111,72,72,True,True
AGO2,0.23863636363636365,176,176,True,True
AGO3,0.2,75,75,True,True
AGPAT1,0.2755102040816326,98,98,True,True
AGPAT2,0.14516129032258066,62,62,True,True
AGPAT3,0.2647058823529412,68,68,True,True
AGPAT5,0.5689655172413793,58,58,True,True
AGPS,0.30275229357798167,109,109,True,True
AGR2,0.27074235807860264,229,229,True,True
AGRN,0.05970149253731343,67,67,True,True
AGT,0.03825136612021858,183,183,True,True
AGTPBP1,0.05172413793103448,58,58,True,True
AGTRAP,0.25757575757575757,66,66,True,True
AHCTF1,0.5837837837837838,185,185,True,True
AHCY,0.40718562874251496,167,167,True,True
AHCYL1,0.24193548387096775,62,62,True,True
AHCYL2,0.14215686274509803,204,204,True,True
AHDC1,0.640625,64,64,True,True
AHNAK,0.0379746835443038,79,79,True,True
AHNAK2,0.6904761904761905,84,84,True,True
AHR,0.4978165938864629,229,229,True,True
AHSA1,0.6282051282051282,78,78,True,True
AHSG,0.011560693641618497,173,173,True,True
AHSP,0.07547169811320754,106,106,True,True
AIDA,0.22950819672131148,183,183,True,True
AIF1,0.2079207920792079,101,101,True,True
AIF1L,0.13559322033898305,59,59,True,True
AIFM2,0.4852941176470588,68,68,True,True
AIMP1,0.44680851063829785,47,47,True,True
AIMP2,0.5176991150442478,226,226,True,True
AIP,0.4954128440366973,109,109,True,True
AK1,0.06349206349206349,63,63,True,True
AK2,0.14705882352941177,68,68,True,True
AK3,0.10909090909090909,55,55,True,True
AK4,0.36065573770491804,61,61,True,True
AKAP1,0.6106194690265486,113,113,True,True
AKAP10,0.22641509433962265,53,53,True,True
AKAP11,0.17307692307692307,52,52,True,True
AKAP12,0.06,50,50,True,True
AKAP13,0.3181818181818182,66,66,True,True
AKAP7,0.04081632653061224,49,49,True,True
AKAP8,0.8043478260869565,92,92,True,True
AKAP8L,0.6739130434782609,92,92,True,True
AKAP9,0.34801762114537443,227,227,True,True
AKR1A1,0.04819277108433735,83,83,True,True
AKR1B1,0.178743961352657,207,207,True,True
AKR1B10,0.5942028985507246,207,207,True,True
AKR1C1,0.29411764705882354,85,85,True,True
AKR1C2,0.27058823529411763,85,85,True,True
AKR1C3,0.38823529411764707,85,85,True,True
AKR7A2,0.12307692307692308,65,65,True,True
AKR7A3,0.171875,64,64,True,True
AKT1,0.4166666666666667,84,84,True,True
AKT1S1,0.5168539325842697,89,89,True,True
AKT2,0.6229508196721312,122,122,True,True
AKT3,0.06486486486486487,185,185,True,True
AKTIP,0.14893617021276595,94,94,True,True
ALAD,0.03508771929824561,57,57,True,True
ALB,0.03076923076923077,65,65,True,True
ALCAM,0.2962962962962963,108,108,True,True
ALDH16A1,0.2391304347826087,92,92,True,True
ALDH18A1,0.7796610169491526,59,59,True,True
ALDH1A1,0.13333333333333333,60,60,True,True
ALDH1A2,0.07692307692307693,52,52,True,True
ALDH1A3,0.3157894736842105,76,76,True,True
ALDH1B1,0.4,65,65,True,True
ALDH1L1,0.1092436974789916,119,119,True,True
ALDH1L2,0.3564356435643564,101,101,True,True
ALDH2,0.02,100,100,True,True
ALDH3A2,0.2909090909090909,55,55,True,True
ALDH3B1,0.09523809523809523,105,105,True,True
ALDH4A1,0.171875,64,64,True,True
ALDH5A1,0.1276595744680851,94,94,True,True
ALDH6A1,0.09523809523809523,84,84,True,True
ALDH7A1,0.049019607843137254,102,102,True,True
ALDH9A1,0.08163265306122448,196,196,True,True
ALDOA,0.8899082568807339,109,109,True,True
ALDOC,0.6571428571428571,105,105,True,True
ALG1,0.49056603773584906,106,106,True,True
ALG11,0.14583333333333334,48,48,True,True
ALG12,0.15,60,60,True,True
ALG14,0.2903225806451613,62,62,True,True
ALG2,0.29310344827586204,58,58,True,True
ALG5,0.4117647058823529,51,51,True,True
ALG6,0.453125,64,64,True,True
ALG9,0.38571428571428573,70,70,True,True
ALKBH3,0.28125,64,64,True,True
ALKBH4,0.40186915887850466,214,214,True,True
