gene,transmissibility,n_amplified_cases,n_rows,meets_primary_20,meets_relaxed_10
DHRS13,0.2761904761904762,105,105,True,True
DHRS3,0.5692307692307692,65,65,True,True
DHRS4,0.0963855421686747,83,83,True,True
DHRS7,0.3333333333333333,87,87,True,True
DHRS7B,0.14285714285714285,56,56,True,True
DHTKD1,0.29411764705882354,85,85,True,True
DHX15,0.7894736842105263,57,57,True,True
DHX16,0.8020833333333334,96,96,True,True
DHX29,0.45454545454545453,88,88,True,True
DHX30,0.38095238095238093,42,42,True,True
DHX32,0.7272727272727273,66,66,True,True
DHX35,0.6418918918918919,148,148,True,True
DHX36,0.7515923566878981,157,157,True,True
DHX37,0.8064516129032258,93,93,True,True
DHX38,0.7916666666666666,96,96,True,True
DHX40,0.2975206611570248,121,121,True,True
DHX57,0.7796610169491526,118,118,True,True
DHX58,0.17272727272727273,110,110,True,True
DHX8,0.8425925925925926,108,108,True,True
DHX9,0.7708333333333334,192,192,True,True
DIABLO,0.41414141414141414,99,99,True,True
DIAPH1,0.7008547008547008,117,117,True,True
DICER1,0.6547619047619048,84,84,True,True
DIDO1,0.8397435897435898,156,156,True,True
DIMT1,0.6097560975609756,82,82,True,True
DIP2A,0.1323529411764706,68,68,True,True
DIP2B,0.48214285714285715,112,112,True,True
DIP2C,0.10256410256410256,78,78,True,True
DIS3,0.9565217391304348,69,69,True,True
DIS3L2,0.48148148148148145,81,81,True,True
DLAT,0.22857142857142856,70,70,True,True
DLD,0.10328638497652583,213,213,True,True
DLG1,0.30177514792899407,169,169,True,True
DLG5,0.7058823529411765,68,68,True,True
DLGAP4,0.6133333333333333,150,150,True,True
DLST,0.12345679012345678,81,81,True,True
DMAP1,0.7380952380952381,84,84,True,True
DMTN,0.034482758620689655,58,58,True,True
DMXL1,0.010526315789473684,95,95,True,True
DMXL2,0.05555555555555555,54,54,True,True
DNAAF5,0.6547085201793722,223,223,True,True
DNAJA1,0.8051948051948052,77,77,True,True
DNAJA2,0.6826923076923077,104,104,True,True
DNAJA3,0.45871559633027525,109,109,True,True
DNAJA4,0.3870967741935484,62,62,True,True
DNAJB1,0.8202247191011236,89,89,True,True
DNAJB11,0.6936416184971098,173,173,True,True
DNAJB12,0.5507246376811594,69,69,True,True
DNAJB14,0.2127659574468085,47,47,True,True
DNAJB2,0.2222222222222222,81,81,True,True
DNAJB4,0.05084745762711865,59,59,True,True
DNAJB6,0.19696969696969696,198,198,True,True
DNAJB9,0.10377358490566038,212,212,True,True
DNAJC1,0.7228915662650602,83,83,True,True
DNAJC10,0.8240740740740741,108,108,True,True
DNAJC11,0.4032258064516129,62,62,True,True
DNAJC12,0.14705882352941177,68,68,True,True
DNAJC13,0.3359375,128,128,True,True
DNAJC14,0.559322033898305,118,118,True,True
DNAJC16,0.5294117647058824,68,68,True,True
DNAJC17,0.5957446808510638,47,47,True,True
DNAJC19,0.5888888888888889,180,180,True,True
DNAJC2,0.8773584905660378,212,212,True,True
DNAJC21,0.5502645502645502,189,189,True,True
DNAJC25,0.5789473684210527,57,57,True,True
DNAJC3,0.6029411764705882,68,68,True,True
DNAJC5,0.4875,160,160,True,True
DNAJC7,0.8272727272727273,110,110,True,True
DNAJC8,0.6885245901639344,61,61,True,True
DNAJC9,0.8405797101449275,69,69,True,True
DNAL1,0.2619047619047619,84,84,True,True
DNASE2,0.5581395348837209,86,86,True,True
DNM1,0.2833333333333333,60,60,True,True
DNM1L,0.4866666666666667,150,150,True,True
DNM2,0.3058823529411765,85,85,True,True
DNM3,0.010101010101010102,198,198,True,True
DNMBP,0.24561403508771928,57,57,True,True
DNMT1,0.8674698795180723,83,83,True,True
DNMT3A,0.7456140350877193,114,114,True,True
DNPEP,0.04938271604938271,81,81,True,True
DNPH1,0.1926605504587156,109,109,True,True
DNTTIP1,0.527027027027027,148,148,True,True
DNTTIP2,0.8166666666666667,60,60,True,True
DOCK1,0.11290322580645161,62,62,True,True
DOCK10,0.3625,80,80,True,True
DOCK2,0.35714285714285715,126,126,True,True
DOCK4,0.038461538461538464,208,208,True,True
DOCK5,0.36363636363636365,55,55,True,True
DOCK6,0.30120481927710846,83,83,True,True
DOCK7,0.28125,64,64,True,True
DOCK8,0.28846153846153844,52,52,True,True
DOCK9,0.14492753623188406,69,69,True,True
DOHH,0.547945205479452,73,73,True,True
DOK1,0.15126050420168066,119,119,True,True
DOK2,0.08620689655172414,58,58,True,True
DOK3,0.4153846153846154,130,130,True,True
DPAGT1,0.463768115942029,69,69,True,True
DPCD,0.631578947368421,57,57,True,True
DPF2,0.3684210526315789,95,95,True,True
DPH1,0.6046511627906976,43,43,True,True
DPH2,0.5882352941176471,85,85,True,True
DPH5,0.515625,64,64,True,True
DPH6,0.30612244897959184,49,49,True,True
DPH7,0.421875,64,64,True,True
DPM1,0.3006535947712418,153,153,True,True
DPM3,0.41,200,200,True,True
DPP3,0.6699029126213593,103,103,True,True
DPP4,0.25,104,104,True,True
DPP7,0.09523809523809523,63,63,True,True
DPP8,0.2542372881355932,59,59,True,True
DPP9,0.6666666666666666,75,75,True,True
DPT,0.03076923076923077,195,195,True,True
DPY19L1,0.584070796460177,226,226,True,True
DPY30,0.7327586206896551,116,116,True,True
DPYD,0.3333333333333333,63,63,True,True
DPYSL2,0.017857142857142856,56,56,True,True
DPYSL3,0.22950819672131148,122,122,True,True
DPYSL4,0.12698412698412698,63,63,True,True
DR1,0.6206896551724138,58,58,True,True
DRAP1,0.6122448979591837,98,98,True,True
DRG1,0.676923076923077,65,65,True,True
DRG2,0.22916666666666666,48,48,True,True
DROSHA,0.7593582887700535,187,187,True,True
DSC2,0.5925925925925926,81,81,True,True
DSG2,0.8987341772151899,79,79,True,True
DSN1,0.7368421052631579,152,152,True,True
DSP,0.5806451612903226,93,93,True,True
DST,0.13402061855670103,97,97,True,True
DSTN,0.08823529411764706,136,136,True,True
DSTYK,0.10416666666666667,192,192,True,True
DTD1,0.18248175182481752,137,137,True,True
DTNA,0.014705882352941176,68,68,True,True
DTNB,0.02631578947368421,114,114,True,True
DTNBP1,0.5306122448979592,98,98,True,True
DTWD2,0.3191489361702128,94,94,True,True
DTX3,0.144,125,125,True,True
DTX3L,0.875,120,120,True,True
DTYMK,0.72,75,75,True,True
DUS1L,0.4732142857142857,112,112,True,True
DUS2,0.46875,96,96,True,True
DUS3L,0.5833333333333334,72,72,True,True
DUSP12,0.685,200,200,True,True
DUSP22,0.046511627906976744,86,86,True,True
DUSP23,0.44221105527638194,199,199,True,True
DUSP3,0.13761467889908258,109,109,True,True
DUT,0.5094339622641509,53,53,True,True
DVL1,0.11428571428571428,70,70,True,True
DVL2,0.5909090909090909,44,44,True,True
DVL3,0.5229885057471264,174,174,True,True
DYM,0.3684210526315789,57,57,True,True
DYNC1H1,0.2840909090909091,88,88,True,True
DYNC1I2,0.09821428571428571,112,112,True,True
DYNC1LI1,0.16666666666666666,48,48,True,True
DYNC1LI2,0.3473684210526316,95,95,True,True
DYNC2H1,0.075,80,80,True,True
DYNC2LI1,0.15126050420168066,119,119,True,True
DYNLL1,0.2653061224489796,98,98,True,True
DYNLRB1,0.2606060606060606,165,165,True,True
DYNLT1,0.5777777777777777,45,45,True,True
DYRK1A,0.2898550724637681,69,69,True,True
DYSF,0.1092436974789916,119,119,True,True
E2F4,0.5520833333333334,96,96,True,True
EAPP,0.5871559633027523,109,109,True,True
EARS2,0.23809523809523808,105,105,True,True
EBAG9,0.3699421965317919,173,173,True,True
EBNA1BP2,0.8837209302325582,86,86,True,True
ECD,0.6086956521739131,69,69,True,True
ECE1,0.328125,64,64,True,True
ECH1,0.25757575757575757,132,132,True,True
ECHDC1,0.0,50,50,True,True
ECHDC2,0.015151515151515152,66,66,True,True
ECHDC3,0.09411764705882353,85,85,True,True
ECHS1,0.265625,64,64,True,True
ECI1,0.1326530612244898,98,98,True,True
ECI2,0.045454545454545456,88,88,True,True
ECM1,0.27411167512690354,197,197,True,True
ECM2,0.3050847457627119,59,59,True,True
ECSIT,0.20930232558139536,86,86,True,True
EDC3,0.65,60,60,True,True
EDC4,0.9484536082474226,97,97,True,True
EDEM3,0.601063829787234,188,188,True,True
EDF1,0.7868852459016393,61,61,True,True
EDIL3,0.3048780487804878,82,82,True,True
EEA1,0.15384615384615385,104,104,True,True
EED,0.75,88,88,True,True
EEF1A1,0.71875,64,64,True,True
EEF1A2,0.4394904458598726,157,157,True,True
EEF1B2,0.5376344086021505,93,93,True,True
EEF1D,0.608433734939759,166,166,True,True
EEF1E1,0.5913978494623656,93,93,True,True
EEF1G,0.7088607594936709,79,79,True,True
EEF2,0.8243243243243243,74,74,True,True
EEF2K,0.5145631067961165,103,103,True,True
EEFSEC,0.2540983606557377,122,122,True,True
EEPD1,0.4,225,225,True,True
EFCAB14,0.358974358974359,78,78,True,True
EFEMP1,0.1,120,120,True,True
EFEMP2,0.08163265306122448,98,98,True,True
EFHD1,0.12658227848101267,79,79,True,True
EFHD2,0.4264705882352941,68,68,True,True
EFNA1,0.455,200,200,True,True
EFNB2,0.1506849315068493,73,73,True,True
EFR3A,0.22033898305084745,177,177,True,True
EFTUD2,0.9259259259259259,108,108,True,True
EGFR,0.6293103448275862,232,232,True,True
EGLN1,0.875,184,184,True,True
EHBP1,0.328,125,125,True,True
EHBP1L1,0.2755102040816326,98,98,True,True
EHD1,0.0,92,92,True,True
EHD2,0.011494252873563218,87,87,True,True
EHD3,0.0,114,114,True,True
EHD4,0.02127659574468085,47,47,True,True
EHHADH,0.27325581395348836,172,172,True,True
EHMT1,0.7741935483870968,62,62,True,True
EHMT2,0.7575757575757576,99,99,True,True
EI24,0.6619718309859155,71,71,True,True
EIF1,0.5135135135135135,111,111,True,True
EIF1AD,0.5612244897959183,98,98,True,True
EIF2A,0.7530864197530864,162,162,True,True
EIF2AK2,0.7894736842105263,114,114,True,True
EIF2AK3,0.5826086956521739,115,115,True,True
EIF2AK4,0.6521739130434783,46,46,True,True
EIF2B1,0.7731958762886598,97,97,True,True
EIF2B2,0.625,80,80,True,True
EIF2B3,0.5581395348837209,86,86,True,True
EIF2B4,0.4152542372881356,118,118,True,True
EIF2B5,0.563953488372093,172,172,True,True
EIF2D,0.43157894736842106,190,190,True,True
EIF2S1,0.9090909090909091,77,77,True,True
EIF2S2,0.7664670658682635,167,167,True,True
EIF3A,0.765625,64,64,True,True
EIF3B,0.7668161434977578,223,223,True,True
EIF3C,0.6371681415929203,113,113,True,True
EIF3D,0.6607142857142857,56,56,True,True
EIF3E,0.5906432748538012,171,171,True,True
EIF3F,0.38596491228070173,57,57,True,True
EIF3G,0.6626506024096386,83,83,True,True
EIF3H,0.6432748538011696,171,171,True,True
EIF3I,0.7076923076923077,65,65,True,True
EIF3J,0.7755102040816326,49,49,True,True
EIF3K,0.40458015267175573,131,131,True,True
EIF3L,0.7857142857142857,56,56,True,True
EIF3M,0.6190476190476191,63,63,True,True
EIF4A1,0.9047619047619048,42,42,True,True
EIF4A2,0.21052631578947367,171,171,True,True
EIF4A3,0.8141592920353983,113,113,True,True
EIF4B,0.5221238938053098,113,113,True,True
EIF4E,0.7021276595744681,47,47,True,True
EIF4E2,0.6375,80,80,True,True
EIF4E3,0.06521739130434782,46,46,True,True
EIF4EBP1,0.2782608695652174,115,115,True,True
EIF4EBP2,0.3088235294117647,68,68,True,True
EIF4ENIF1,0.8307692307692308,65,65,True,True
EIF4G1,0.861271676300578,173,173,True,True
EIF4G2,0.711864406779661,59,59,True,True
EIF4G3,0.7301587301587301,63,63,True,True
EIF4H,0.7373271889400922,217,217,True,True
EIF5,0.7717391304347826,92,92,True,True
EIF5A,0.5581395348837209,43,43,True,True
EIF5B,0.9444444444444444,108,108,True,True
EIF6,0.7575757575757576,165,165,True,True
ELAC1,0.12727272727272726,55,55,True,True
ELAC2,0.6590909090909091,44,44,True,True
ELANE,0.21052631578947367,76,76,True,True
ELAVL1,0.6582278481012658,79,79,True,True
ELF1,0.36538461538461536,52,52,True,True
ELF2,0.27450980392156865,51,51,True,True
ELL,0.851063829787234,94,94,True,True
ELMO1,0.12053571428571429,224,224,True,True
ELMO2,0.07482993197278912,147,147,True,True
ELMOD2,0.54,50,50,True,True
ELMSAN1,0.4523809523809524,84,84,True,True
ELOF1,0.09523809523809523,84,84,True,True
ELP2,0.6231884057971014,69,69,True,True
ELP3,0.6610169491525424,59,59,True,True
ELP4,0.140625,64,64,True,True
ELP5,0.06976744186046512,43,43,True,True
ELP6,0.11363636363636363,44,44,True,True
EMC1,0.375,64,64,True,True
EMC10,0.2808988764044944,89,89,True,True
EMC2,0.21052631578947367,171,171,True,True
EMC3,0.3333333333333333,51,51,True,True
EMC4,0.1,50,50,True,True
EMC7,0.32653061224489793,49,49,True,True
EMC8,0.3625,80,80,True,True
EMG1,0.7867647058823529,136,136,True,True
EMILIN1,0.24347826086956523,115,115,True,True
EMILIN2,0.3148148148148148,108,108,True,True
EML1,0.047619047619047616,84,84,True,True
EML2,0.3076923076923077,91,91,True,True
EML3,0.13924050632911392,79,79,True,True
EML4,0.4789915966386555,119,119,True,True
ENAH,0.3224043715846995,183,183,True,True
ENDOD1,0.38372093023255816,86,86,True,True
ENDOG,0.38333333333333336,60,60,True,True
ENG,0.09523809523809523,63,63,True,True
ENGASE,0.09009009009009009,111,111,True,True
ENO1,0.7096774193548387,62,62,True,True
ENO2,0.3602941176470588,136,136,True,True
ENO3,0.023809523809523808,42,42,True,True
ENOPH1,0.3148148148148148,54,54,True,True
ENOSF1,0.08256880733944955,109,109,True,True
ENPEP,0.0625,48,48,True,True
ENPP1,0.14,50,50,True,True
ENPP2,0.16477272727272727,176,176,True,True
ENPP4,0.13131313131313133,99,99,True,True
ENSA,0.45226130653266333,199,199,True,True
ENTPD1,0.05084745762711865,59,59,True,True
ENTPD5,0.42857142857142855,84,84,True,True
ENY2,0.44508670520231214,173,173,True,True
EOGT,0.16666666666666666,48,48,True,True
EP300,0.8524590163934426,61,61,True,True
EP400,0.6222222222222222,90,90,True,True
EPB41,0.047619047619047616,63,63,True,True
EPB41L1,0.16447368421052633,152,152,True,True
EPB41L2,0.0,49,49,True,True
EPB41L3,0.0392156862745098,102,102,True,True
EPB41L5,0.018518518518518517,108,108,True,True
EPB42,0.058823529411764705,51,51,True,True
EPC1,0.5340909090909091,88,88,True,True
EPDR1,0.13839285714285715,224,224,True,True
EPG5,0.3559322033898305,59,59,True,True
EPHA2,0.35294117647058826,68,68,True,True
EPHB2,0.4444444444444444,63,63,True,True
EPHB4,0.3242009132420091,219,219,True,True
EPHX1,0.21311475409836064,183,183,True,True
EPHX2,0.034482758620689655,58,58,True,True
EPM2AIP1,0.10869565217391304,46,46,True,True
EPN1,0.09278350515463918,97,97,True,True
EPN2,0.16666666666666666,54,54,True,True
EPPK1,0.5548780487804879,164,164,True,True
EPRS,0.7431693989071039,183,183,True,True
EPS15,0.12307692307692308,65,65,True,True
EPS15L1,0.08888888888888889,90,90,True,True
EPS8,0.4411764705882353,136,136,True,True
EPS8L2,0.2708333333333333,48,48,True,True
EPSTI1,0.37037037037037035,54,54,True,True
ERAL1,0.44339622641509435,106,106,True,True
ERAP1,0.5517241379310345,87,87,True,True
ERAP2,0.39080459770114945,87,87,True,True
ERBB2,0.44166666666666665,120,120,True,True
ERBB3,0.26666666666666666,120,120,True,True
ERC1,0.2847222222222222,144,144,True,True
ERCC1,0.5,90,90,True,True
ERCC2,0.6630434782608695,92,92,True,True
ERCC3,0.8113207547169812,106,106,True,True
ERCC4,0.6728971962616822,107,107,True,True
ERCC6,0.39436619718309857,71,71,True,True
ERGIC1,0.6666666666666666,132,132,True,True
ERGIC2,0.9183673469387755,147,147,True,True
ERGIC3,0.8757763975155279,161,161,True,True
ERH,0.47368421052631576,76,76,True,True
ERI1,0.8620689655172413,58,58,True,True
ERI3,0.2619047619047619,84,84,True,True
ERLEC1,0.5041322314049587,121,121,True,True
ERLIN1,0.543859649122807,57,57,True,True
ERLIN2,0.47706422018348627,109,109,True,True
ERMP1,0.42592592592592593,54,54,True,True
ERP29,0.35,100,100,True,True
ERP44,0.576271186440678,59,59,True,True
ESAM,0.04225352112676056,71,71,True,True
ESD,0.038461538461538464,52,52,True,True
ESF1,0.9338235294117647,136,136,True,True
ESYT1,0.14166666666666666,120,120,True,True
ESYT2,0.3626943005181347,193,193,True,True
ETF1,0.6403508771929824,114,114,True,True
ETFA,0.16393442622950818,61,61,True,True
ETFB,0.13186813186813187,91,91,True,True
ETFDH,0.04081632653061224,49,49,True,True
ETHE1,0.22448979591836735,98,98,True,True
ETNK1,0.4154929577464789,142,142,True,True
ETS1,0.1267605633802817,71,71,True,True
ETV6,0.8787878787878788,132,132,True,True
EVI2B,0.2708333333333333,96,96,True,True
EVI5,0.08771929824561403,57,57,True,True
EVI5L,0.19230769230769232,78,78,True,True
EVL,0.05813953488372093,86,86,True,True
EVPL,0.06722689075630252,119,119,True,True
EWSR1,0.4925373134328358,67,67,True,True
EXD2,0.5526315789473685,76,76,True,True
EXOC1,0.2839506172839506,81,81,True,True
EXOC2,0.07865168539325842,89,89,True,True
EXOC3,0.15343915343915343,189,189,True,True
EXOC4,0.24401913875598086,209,209,True,True
EXOC5,0.13636363636363635,88,88,True,True
EXOC6,0.3559322033898305,59,59,True,True
EXOC6B,0.1440677966101695,118,118,True,True
EXOC7,0.06722689075630252,119,119,True,True
EXOC8,0.10869565217391304,184,184,True,True
EXOG,0.3111111111111111,45,45,True,True
EXOSC1,0.7704918032786885,61,61,True,True
EXOSC10,0.7846153846153846,65,65,True,True
EXOSC2,0.7192982456140351,57,57,True,True
EXOSC3,0.6190476190476191,63,63,True,True
EXOSC4,0.40853658536585363,164,164,True,True
EXOSC5,0.5392156862745098,102,102,True,True
EXOSC6,0.6391752577319587,97,97,True,True
EXOSC7,0.6595744680851063,47,47,True,True
EXOSC8,0.6666666666666666,51,51,True,True
EXOSC9,0.673469387755102,49,49,True,True
EXT2,0.53125,64,64,True,True
EYA3,0.6451612903225806,62,62,True,True
EZR,0.2608695652173913,46,46,True,True
F10,0.039473684210526314,76,76,True,True
F11,0.08,50,50,True,True
F11R,0.2736318407960199,201,201,True,True
F12,0.08396946564885496,131,131,True,True
F13A1,0.06521739130434782,92,92,True,True
F13B,0.0213903743315508,187,187,True,True
F2,0.07692307692307693,65,65,True,True
F5,0.08717948717948718,195,195,True,True
FAAH,0.12658227848101267,79,79,True,True
FABP3,0.12307692307692308,65,65,True,True
FABP4,0.02,150,150,True,True
FABP5,0.1986754966887417,151,151,True,True
FABP6,0.5967741935483871,124,124,True,True
FADD,0.5371900826446281,121,121,True,True
FAF1,0.4,65,65,True,True
FAF2,0.9457364341085271,129,129,True,True
FAH,0.03278688524590164,61,61,True,True
FAHD1,0.25742574257425743,101,101,True,True
FAHD2A,0.14285714285714285,112,112,True,True
FAIM,0.5034965034965035,143,143,True,True
FAM102A,0.3709677419354839,62,62,True,True
FAM107B,0.30120481927710846,83,83,True,True
FAM111A,0.7341772151898734,79,79,True,True
FAM114A1,0.6268656716417911,67,67,True,True
FAM114A2,0.45901639344262296,122,122,True,True
FAM117B,0.37894736842105264,95,95,True,True
FAM118B,0.22857142857142856,70,70,True,True
FAM120A,0.6779661016949152,59,59,True,True
FAM120B,0.5319148936170213,47,47,True,True
FAM122A,0.20967741935483872,62,62,True,True
FAM126A,0.13537117903930132,229,229,True,True
FAM126B,0.16494845360824742,97,97,True,True
FAM136A,0.3865546218487395,119,119,True,True
FAM13A,0.3333333333333333,54,54,True,True
FAM160A2,0.10909090909090909,55,55,True,True
FAM160B1,0.3064516129032258,62,62,True,True
FAM160B2,0.603448275862069,58,58,True,True
FAM162A,0.47540983606557374,122,122,True,True
FAM168A,0.66,100,100,True,True
FAM169A,0.15853658536585366,82,82,True,True
FAM171A1,0.08433734939759036,83,83,True,True
FAM172A,0.3170731707317073,82,82,True,True
FAM185A,0.09813084112149532,214,214,True,True
FAM192A,0.8571428571428571,98,98,True,True
FAM193A,0.27586206896551724,58,58,True,True
FAM207A,0.7258064516129032,62,62,True,True
FAM20B,0.5585106382978723,188,188,True,True
FAM210A,0.7040816326530612,98,98,True,True
FAM210B,0.4527027027027027,148,148,True,True
FAM32A,0.6195652173913043,92,92,True,True
FAM3C,0.6225490196078431,204,204,True,True
FAM45A,0.03125,64,64,True,True
FAM49A,0.035398230088495575,113,113,True,True
FAM49B,0.6022099447513812,181,181,True,True
FAM76A,0.42857142857142855,63,63,True,True
FAM76B,0.8488372093023255,86,86,True,True
FAM89B,0.336734693877551,98,98,True,True
FAM8A1,0.3434343434343434,99,99,True,True
FAM91A1,0.9444444444444444,180,180,True,True
FAM98A,0.32456140350877194,114,114,True,True
FAM98B,0.34782608695652173,46,46,True,True
FAM98C,0.2109375,128,128,True,True
FAP,0.6923076923076923,104,104,True,True
FAR1,0.3181818181818182,66,66,True,True
FARP1,0.029411764705882353,68,68,True,True
FARP2,0.25,76,76,True,True
FARS2,0.21978021978021978,91,91,True,True
FARSA,0.23255813953488372,86,86,True,True
FARSB,0.3375,80,80,True,True
FAS,0.3389830508474576,59,59,True,True
FASN,0.36036036036036034,111,111,True,True
FASTKD2,0.20430107526881722,93,93,True,True
FASTKD5,0.3157894736842105,133,133,True,True
FAT1,0.6862745098039216,51,51,True,True
FAT4,0.1,50,50,True,True
FAU,0.532608695652174,92,92,True,True
FBL,0.7401574803149606,127,127,True,True
FBLIM1,0.23529411764705882,68,68,True,True
FBLN1,0.19642857142857142,56,56,True,True
FBLN2,0.22,50,50,True,True
FBLN5,0.03614457831325301,83,83,True,True
FBLN7,0.05714285714285714,105,105,True,True
FBN1,0.20754716981132076,53,53,True,True
FBP1,0.034482758620689655,58,58,True,True
FBXL15,0.11864406779661017,59,59,True,True
FBXL17,0.45454545454545453,88,88,True,True
FBXL18,0.5398230088495575,226,226,True,True
FBXL20,0.3448275862068966,116,116,True,True
FBXL8,0.16666666666666666,96,96,True,True
FBXO11,0.375,120,120,True,True
FBXO2,0.18181818181818182,66,66,True,True
FBXO21,0.1326530612244898,98,98,True,True
FBXO22,0.5,62,62,True,True
FBXO3,0.20634920634920634,63,63,True,True
FBXO30,0.27450980392156865,51,51,True,True
FBXO38,0.4098360655737705,122,122,True,True
FBXO4,0.5675675675675675,185,185,True,True
FBXO45,0.38323353293413176,167,167,True,True
FBXO6,0.6060606060606061,66,66,True,True
FBXO7,0.046875,64,64,True,True
FBXW11,0.26153846153846155,130,130,True,True
FBXW2,0.07407407407407407,54,54,True,True
FBXW5,0.09523809523809523,63,63,True,True
FBXW9,0.32558139534883723,86,86,True,True
FCER1G,0.48756218905472637,201,201,True,True
FCGBP,0.24603174603174602,126,126,True,True
FCGR1A,0.36923076923076925,195,195,True,True
FCGR2B,0.2663316582914573,199,199,True,True
FCGR3A,0.245,200,200,True,True
FCGRT,0.17391304347826086,92,92,True,True
FCHO2,0.23255813953488372,86,86,True,True
FCHSD1,0.5641025641025641,117,117,True,True
FCHSD2,0.20388349514563106,103,103,True,True
FCN1,0.16363636363636364,55,55,True,True
FCN2,0.05555555555555555,54,54,True,True
FCN3,0.03225806451612903,62,62,True,True
FDFT1,0.5166666666666667,60,60,True,True
FDPS,0.4221105527638191,199,199,True,True
FDX1,0.013888888888888888,72,72,True,True
FDXR,0.3884297520661157,121,121,True,True
FECH,0.14814814814814814,54,54,True,True
FEN1,0.9629629629629629,81,81,True,True
FER,0.045454545454545456,88,88,True,True
FERMT1,0.4411764705882353,136,136,True,True
FERMT2,0.0,91,91,True,True
FERMT3,0.20481927710843373,83,83,True,True
FES,0.11267605633802817,71,71,True,True
FETUB,0.023121387283236993,173,173,True,True
FEZ2,0.3826086956521739,115,115,True,True
FGA,0.04,50,50,True,True
FGB,0.04,50,50,True,True
FGD2,0.1,100,100,True,True
FGD3,0.1864406779661017,59,59,True,True
FGD4,0.1,150,150,True,True
FGD5,0.0625,48,48,True,True
FGD6,0.5686274509803921,102,102,True,True
FGF1,0.08547008547008547,117,117,True,True
FGF2,0.04081632653061224,49,49,True,True
FGFR1OP,0.7391304347826086,46,46,True,True
FGFR1OP2,0.17333333333333334,150,150,True,True
FGG,0.04,50,50,True,True
FGGY,0.11475409836065574,61,61,True,True
FGL2,0.18691588785046728,214,214,True,True
FH,0.15053763440860216,186,186,True,True
FHIT,0.02564102564102564,39,39,True,True
FHL2,0.37735849056603776,106,106,True,True
FHL3,0.375,80,80,True,True
FHL5,0.043478260869565216,46,46,True,True
FHOD1,0.052083333333333336,96,96,True,True
FIBP,0.11224489795918367,98,98,True,True
FIG4,0.18181818181818182,44,44,True,True
FILIP1,0.031746031746031744,63,63,True,True
FILIP1L,0.1592920353982301,113,113,True,True
FIP1L1,0.797752808988764,89,89,True,True
FIS1,0.12037037037037036,216,216,True,True
FKBP10,0.8660714285714286,112,112,True,True
FKBP11,0.6814159292035398,113,113,True,True
FKBP14,0.7324561403508771,228,228,True,True
FKBP15,0.35185185185185186,54,54,True,True
FKBP1A,0.22727272727272727,132,132,True,True
FKBP2,0.2235294117647059,85,85,True,True
FKBP3,0.711340206185567,97,97,True,True
FKBP4,0.6338028169014085,142,142,True,True
FKBP5,0.2653061224489796,98,98,True,True
FKBP7,0.3867924528301887,106,106,True,True
FKBP8,0.3684210526315789,95,95,True,True
FKBP9,0.8281938325991189,227,227,True,True
FKBPL,0.4489795918367347,98,98,True,True
FLAD1,0.6733668341708543,199,199,True,True
FLCN,0.21739130434782608,46,46,True,True
FLI1,0.0273972602739726,73,73,True,True
FLII,0.0851063829787234,47,47,True,True
FLNB,0.3333333333333333,42,42,True,True
FLNC,0.14146341463414633,205,205,True,True
FLOT1,0.28125,96,96,True,True
FLOT2,0.27358490566037735,106,106,True,True
FLT1,0.5192307692307693,52,52,True,True
FLYWCH2,0.5882352941176471,102,102,True,True
FMN1,0.10204081632653061,49,49,True,True
FMNL1,0.1926605504587156,109,109,True,True
FMNL2,0.37623762376237624,101,101,True,True
FMNL3,0.11711711711711711,111,111,True,True
FMOD,0.2268041237113402,194,194,True,True
FN1,0.4457831325301205,83,83,True,True
FN3K,0.02702702702702703,111,111,True,True
FN3KRP,0.08108108108108109,111,111,True,True
FNBP1,0.11864406779661017,59,59,True,True
FNBP1L,0.4067796610169492,59,59,True,True
FNBP4,0.7076923076923077,65,65,True,True
FNDC3A,0.5208333333333334,48,48,True,True
FNDC3B,0.9361702127659575,188,188,True,True
FNTA,0.29411764705882354,119,119,True,True
FOCAD,0.5952380952380952,42,42,True,True
FOLR1,0.10784313725490197,102,102,True,True
FOLR2,0.029411764705882353,102,102,True,True
FOSL2,0.9145299145299145,117,117,True,True
FOXJ2,0.4632352941176471,136,136,True,True
FOXK1,0.8141592920353983,226,226,True,True
FOXK2,0.5357142857142857,112,112,True,True
FOXO1,0.21153846153846154,52,52,True,True
FOXO3,0.2222222222222222,45,45,True,True
FOXP1,0.2,45,45,True,True
FOXRED1,0.17142857142857143,70,70,True,True
FPGS,0.36507936507936506,63,63,True,True
FPGT,0.4,60,60,True,True
FRA10AC1,0.5689655172413793,58,58,True,True
FREM2,0.15384615384615385,52,52,True,True
FRG1,0.5192307692307693,52,52,True,True
FRMD4A,0.21686746987951808,83,83,True,True
FRMD8,0.3333333333333333,96,96,True,True
FRY,0.0,50,50,True,True
FRYL,0.4805194805194805,77,77,True,True
FRZB,0.08256880733944955,109,109,True,True
FSCN1,0.4666666666666667,225,225,True,True
FSTL1,0.6302521008403361,119,119,True,True
FTH1,0.13580246913580246,81,81,True,True
FTL,0.06741573033707865,89,89,True,True
FTO,0.7021276595744681,94,94,True,True
FTSJ3,0.959349593495935,123,123,True,True
FUBP1,0.7457627118644068,59,59,True,True
FUBP3,0.8421052631578947,57,57,True,True
FUCA1,0.3870967741935484,62,62,True,True
FUCA2,0.38,50,50,True,True
